Tissue_cell_type_name	Developmental_stage	Organ_system	Specific_tissue_name	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID
AdultAdipose_Fibroblast	Adult	Integumentary system	AdultAdipose	Fibroblast	Fibroblast	CL:0000057	Adipose tissue	UBERON:0001013
AdultAdipose_Macrophage	Adult	Integumentary system	AdultAdipose	Macrophage	Macrophage	CL:0000235	Adipose tissue	UBERON:0001013
AdultAdipose_Stromal cell	Adult	Integumentary system	AdultAdipose	Stromal cell	Stromal cell	CL:0000499	Adipose tissue	UBERON:0001013
AdultAdrenalGland_B cell (Plasmocyte)	Adult	Endocrine system	AdultAdrenalGland	B cell (Plasmocyte)	B cell	CL:0000236	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Endothelial cell	Adult	Endocrine system	AdultAdrenalGland	Endothelial cell	Endothelial cell	CL:0000115	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Endothelial cell (APC)	Adult	Endocrine system	AdultAdrenalGland	Endothelial cell (APC)	Endothelial cell	CL:0000115	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Fasciculata cell	Adult	Endocrine system	AdultAdrenalGland	Fasciculata cell	Type II cell of adrenal cortex	CL:0002136	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Macrophage	Adult	Endocrine system	AdultAdrenalGland	Macrophage	Macrophage	CL:0000235	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Myeloid cell	Adult	Endocrine system	AdultAdrenalGland	Myeloid cell	Myeloid cell	CL:0000763	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Smooth muscle cell	Adult	Endocrine system	AdultAdrenalGland	Smooth muscle cell	Smooth muscle cell	CL:0000192	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Stromal cell	Adult	Endocrine system	AdultAdrenalGland	Stromal cell	Stromal cell	CL:0000499	Adrenal gland	UBERON:0002369
AdultAdrenalGland_T cell	Adult	Endocrine system	AdultAdrenalGland	T cell	T cell	CL:0000084	Adrenal gland	UBERON:0002369
AdultArtery_B cell (Plasmocyte)	Adult	Cardiovascular system	AdultArtery	B cell (Plasmocyte)	B cell	CL:0000236	Artery	UBERON:0001637
AdultArtery_Endothelial cell	Adult	Cardiovascular system	AdultArtery	Endothelial cell	Endothelial cell	CL:0000115	Artery	UBERON:0001637
AdultArtery_Endothelial cell (APC)	Adult	Cardiovascular system	AdultArtery	Endothelial cell (APC)	Endothelial cell	CL:0000115	Artery	UBERON:0001637
AdultArtery_Fibroblast	Adult	Cardiovascular system	AdultArtery	Fibroblast	Fibroblast	CL:0000057	Artery	UBERON:0001637
AdultArtery_Macrophage	Adult	Cardiovascular system	AdultArtery	Macrophage	Macrophage	CL:0000235	Artery	UBERON:0001637
AdultArtery_Mast cell	Adult	Cardiovascular system	AdultArtery	Mast cell	Mast cell	CL:0000097	Artery	UBERON:0001637
AdultArtery_Smooth muscle cell	Adult	Cardiovascular system	AdultArtery	Smooth muscle cell	Smooth muscle cell	CL:0000192	Artery	UBERON:0001637
AdultArtery_Stromal cell	Adult	Cardiovascular system	AdultArtery	Stromal cell	Stromal cell	CL:0000499	Artery	UBERON:0001637
AdultArtery_T cell	Adult	Cardiovascular system	AdultArtery	T cell	T cell	CL:0000084	Artery	UBERON:0001637
AdultAscendingColon_B cell	Adult	Digestive system	AdultAscendingColon	B cell	B cell	CL:0000236	Ascending colon	UBERON:0001156
AdultAscendingColon_B cell (Plasmocyte)	Adult	Digestive system	AdultAscendingColon	B cell (Plasmocyte)	B cell	CL:0000236	Ascending colon	UBERON:0001156
AdultAscendingColon_Enterocyte progenitor	Adult	Digestive system	AdultAscendingColon	Enterocyte progenitor	Enterocyte	CL:0000584	Ascending colon	UBERON:0001156
AdultAscendingColon_Stromal cell	Adult	Digestive system	AdultAscendingColon	Stromal cell	Stromal cell	CL:0000499	Ascending colon	UBERON:0001156
