Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p
TS_Liver_hepatocyte	Adult	Digestive system	TS_Liver	hepatocyte	Hepatocyte	CL:0000182	Liver	UBERON:0002107	6.00546169765169e-111	4.10859102814896e-05	0.000738007380073801	5.55232930965488e-07	6.2555247837051
MacParland_2018_liver_Hepatocyte	Adult	Digestive system	MacParland_2018_liver	Hepatocyte	Hepatocyte	CL:0000182	Liver	UBERON:0002107	1.7901998544463e-95	4.10859102814896e-05	0.0014760147601476	1.06843105329713e-06	5.97125349796291
Fetal_HCA_Liver_Hepatoblasts	Fetal	Digestive system	Fetal_HCA_Liver	Hepatoblasts	Hepatoblast	CL:0005026	Liver	UBERON:0002107	6.22406051700934e-64	4.10859102814896e-05	0.0022140221402214	1.5657633998245e-06	5.80527386291266
AdultLiver_Sinusoidal endothelial cell	Adult	Digestive system	AdultLiver	Sinusoidal endothelial cell	Endothelial cell	CL:0000115	Liver	UBERON:0002107	4.22034852989773e-59	4.10859102814896e-05	0.0029520295202952	2.05279248932655e-06	5.68765494994518
Fetal_HCA_Spleen_AFP_ALB positive cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	AFP_ALB positive cells	Hepatocyte	CL:0000182	Spleen	UBERON:0002106	2.16737907757383e-39	4.10859102814896e-05	0.003690036900369	2.5321601470063e-06	5.59650883073932
Fetal_HCA_Placenta_AFP_ALB positive cells	Fetal	Reproductive system	Fetal_HCA_Placenta	AFP_ALB positive cells	Hepatocyte	CL:0000182	Placenta	UBERON:0001987	4.2319810364458e-37	4.10859102814896e-05	0.0044280442804428	3.00542237363643e-06	5.52209448484284
AdultKidney_Epithelial cell	Adult	Urinary system	AdultKidney	Epithelial cell	Epithelial cell	CL:0000066	Kidney	UBERON:0002113	3.90364131437853e-23	4.10859102814896e-05	0.00811808118081181	5.30777123697312e-06	5.27508780333985
AdultJeJunum_Enterocyte	Adult	Digestive system	AdultJeJunum	Enterocyte	Enterocyte	CL:0000584	Jejunum	UBERON:0002115	4.95689700548514e-20	4.10859102814896e-05	0.011070110701107	7.09680347499297e-06	5.14893722110729
AdultGallbladder_Goblet cell	Adult	Digestive system	AdultGallbladder	Goblet cell	Goblet cell	CL:0000160	Gall bladder	UBERON:0002110	3.95260762509912e-19	4.10859102814896e-05	0.0125461254612546	7.97852622014261e-06	5.09807732338246
FetalAdrenalGland_Hepatocyte/Endodermal cell	Fetal	Endocrine system	FetalAdrenalGland	Hepatocyte/Endodermal cell	Hepatocyte	CL:0000182	Adrenal gland	UBERON:0002369	2.46601921315617e-18	4.10859102814896e-05	0.0140221402214022	8.85309789655508e-06	5.05290473337457
AdultIleum_Enterocyte	Adult	Digestive system	AdultIleum	Enterocyte	Enterocyte	CL:0000584	Ileum	UBERON:0002116	1.1562330781444e-17	4.10859102814896e-05	0.014760147601476	9.28794441468206e-06	5.03208039237253
AdultDuodenum_Enterocyte	Adult	Digestive system	AdultDuodenum	Enterocyte	Enterocyte	CL:0000584	Duodenum	UBERON:0002114	2.88455909340448e-16	4.10859102814896e-05	0.0154981549815498	9.72127421516866e-06	5.01227680623139
FetalKidney_Proximal tubule progenitor	Fetal	Urinary system	FetalKidney	Proximal tubule progenitor	Epithelial cell of proximal tubule	CL:0002306	Kidney	UBERON:0002113	5.20886648453946e-16	4.10859102814896e-05	0.0162361623616236	1.01531595786408e-05	4.99339878789461
FetalIntestine_Hepatocyte/Endodermal cell	Fetal	Digestive system	FetalIntestine	Hepatocyte/Endodermal cell	Hepatocyte	CL:0000182	Intestine	UBERON:0000160	5.73098270034917e-16	4.10859102814896e-05	0.0169741697416974	1.05836662079861e-05	4.9753638655624
Fetal_HCA_Stomach_MUC13_DMBT1 positive cells	Fetal	Digestive system	Fetal_HCA_Stomach	MUC13_DMBT1 positive cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945	2.253906085203e-11	4.10859102814896e-05	0.0228782287822878	1.39843661040029e-05	4.85435721493943
AdultPancreas_Enterocyte progenitor	Adult	Digestive system	AdultPancreas	Enterocyte progenitor	Enterocyte	CL:0000584	Pancreas	UBERON:0001264	5.14088938017029e-11	4.10859102814896e-05	0.0265682656826568	1.60766829674364e-05	4.79380355244961
AdultBladder_Epithelial cell (intermediated)	Adult	Urinary system	AdultBladder	Epithelial cell (intermediated)	Epithelial cell	CL:0000066	Bladder organ	UBERON:0018707	6.36416924772453e-10	4.10859102814896e-05	0.0383763837638376	2.26420731975763e-05	4.64508380994645
